YR,MON,NINO1+2
1950,1,23.01
1950,2,24.32
1950,3,25.11
1950,4,23.63
1950,5,22.68
1950,6,21.33
1950,7,20.31
1950,8,20.12
1950,9,19.56
1950,10,19.99
1950,11,19.85
1950,12,21.72
1951,1,24.11
1951,2,25.19
1951,3,25.74
1951,4,25.29
1951,5,24.59
1951,6,24.61
1951,7,23.82
1951,8,22.18
1951,9,21.29
1951,10,21.74
1951,11,22.34
1951,12,22.83
1952,1,24.36
1952,2,26.02
1952,3,26.08
1952,4,24.44
1952,5,23.48
1952,6,21.93
1952,7,20.73
1952,8,19.89
1952,9,19.37
1952,10,20.37
1952,11,20.83
1952,12,22.31
1953,1,24.13
1953,2,26.27
1953,3,27.22
1953,4,27
1953,5,25.43
1953,6,23.43
1953,7,21.96
1953,8,21.18
1953,9,21.06
1953,10,20.84
1953,11,21.51
1953,12,22.22
1954,1,22.66
1954,2,24.88
1954,3,25.17
1954,4,22.45
1954,5,21.43
1954,6,20.66
1954,7,19.13
1954,8,19.31
1954,9,19.02
1954,10,18.98
1954,11,20.2
1954,12,21.34
1955,1,23.72
1955,2,24.97
1955,3,25.12
1955,4,24.3
1955,5,22.26
1955,6,21.2
1955,7,20.52
1955,8,19.46
1955,9,19.26
1955,10,19.2
1955,11,19.83
1955,12,21.12
1956,1,23.26
1956,2,24.9
1956,3,25.73
1956,4,24.39
1956,5,23.21
1956,6,22.19
1956,7,21.82
1956,8,20.57
1956,9,19.72
1956,10,19.82
1956,11,20.59
1956,12,21.49
1957,1,22.9
1957,2,26.17
1957,3,27.27
1957,4,26.66
1957,5,26.82
1957,6,25.14
1957,7,23.82
1957,8,22.2
1957,9,21.64
1957,10,21.64
1957,11,22.21
1957,12,23.47
1958,1,24.7
1958,2,26.36
1958,3,26.96
1958,4,26.25
1958,5,24.54
1958,6,23.1
1958,7,22.02
1958,8,20.59
1958,9,20.32
1958,10,20.82
1958,11,21.28
1958,12,22.31
1959,1,23.69
1959,2,25.63
1959,3,26.83
1959,4,25.66
1959,5,24.02
1959,6,22.5
1959,7,21.39
1959,8,19.99
1959,9,20.11
1959,10,20.72
1959,11,21.76
1959,12,22.58
1960,1,24.23
1960,2,25.68
1960,3,26.24
1960,4,24.43
1960,5,23.33
1960,6,21.71
1960,7,20.64
1960,8,19.99
1960,9,20.46
1960,10,20.11
1960,11,21.06
1960,12,22.52
1961,1,24.49
1961,2,26.56
1961,3,25.76
1961,4,24.75
1961,5,23.49
1961,6,22.15
1961,7,20.43
1961,8,19.86
1961,9,19.59
1961,10,19.97
1961,11,20.99
1961,12,21.93
1962,1,23.83
1962,2,25.37
1962,3,24.36
1962,4,23.16
1962,5,22.9
1962,6,21.77
1962,7,20.64
1962,8,20.24
1962,9,19.99
1962,10,19.84
1962,11,20.78
1962,12,21.72
1963,1,23.72
1963,2,25.28
1963,3,25.73
1963,4,24.32
1963,5,23.85
1963,6,22.25
1963,7,21.61
1963,8,21.16
1963,9,20.78
1963,10,20.96
1963,11,21.44
1963,12,22.52
1964,1,23.92
1964,2,24.81
1964,3,25.08
1964,4,24.18
1964,5,21.74
1964,6,21.24
1964,7,20.19
1964,8,19.34
1964,9,19.5
1964,10,19.58
1964,11,20.69
1964,12,21.48
1965,1,23.87
1965,2,25.78
1965,3,26.48
1965,4,26.88
1965,5,25.95
1965,6,24.35
1965,7,23
1965,8,22.38
1965,9,21.1
1965,10,21.34
1965,11,22.09
1965,12,23.16
1966,1,24.94
1966,2,25.49
1966,3,25.02
1966,4,23.97
1966,5,22.69
1966,6,21.57
1966,7,20.67
1966,8,19.83
1966,9,19.83
1966,10,20.44
1966,11,20.74
1966,12,22.19
1967,1,23.53
1967,2,25.52
1967,3,25.44
1967,4,24.82
1967,5,23.6
1967,6,22.07
1967,7,20.86
1967,8,19.51
1967,9,18.92
1967,10,19.29
1967,11,19.88
1967,12,20.97
1968,1,22.95
1968,2,24.7
1968,3,24.91
1968,4,23.77
1968,5,22.39
1968,6,21.51
1968,7,21.15
1968,8,20.75
1968,9,21.05
1968,10,20.87
1968,11,21.56
1968,12,22.97
1969,1,24.36
1969,2,25.35
1969,3,26.83
1969,4,26.41
1969,5,25.73
1969,6,24.09
1969,7,22.24
1969,8,20.88
1969,9,20.75
1969,10,21.62
1969,11,22.23
1969,12,23.4
1970,1,24.96
1970,2,25.72
1970,3,25.23
1970,4,24.55
1970,5,22.63
1970,6,21.12
1970,7,19.45
1970,8,19.16
1970,9,19.29
1970,10,19.88
1970,11,20.48
1970,12,21.66
1971,1,23.13
1971,2,24.42
1971,3,25.03
1971,4,24.87
1971,5,23.18
1971,6,21.58
1971,7,20.93
1971,8,19.77
1971,9,19.51
1971,10,19.72
1971,11,20.89
1971,12,21.82
1972,1,24.19
1972,2,26.55
1972,3,27.07
1972,4,26.17
1972,5,25.13
1972,6,24.9
1972,7,23.99
1972,8,23.38
1972,9,21.96
1972,10,22.4
1972,11,23.03
1972,12,24.82
1973,1,25.83
1973,2,26.26
